file	Node	seed	edge	dens	fwprob	pb	cpp seed
ff-n-100-1	100	1	1608	0.3216	0.5	0.4	40
ff-n-100-2	100	2	770	0.154	0.5	0.4	41
ff-n-100-3	100	3	977	0.1954	0.5	0.4	42
ff-n-100-4	100	4	1250	0.25	0.5	0.4	43
ff-n-100-5	100	5	1240	0.248	0.5	0.4	44
ff-n-200-1	200	1	7174	0.3587	0.5	0.4	45
ff-n-200-2	200	2	4264	0.2132	0.5	0.4	46
ff-n-200-3	200	3	4278	0.2139	0.5	0.4	47
ff-n-200-4	200	4	6410	0.3205	0.5	0.4	48
ff-n-200-5	200	5	5309	0.26545	0.5	0.4	49
ff-n-300-1	300	1	14143	0.314288888888889	0.5	0.4	50
ff-n-300-2	300	2	11943	0.2654	0.5	0.4	51
ff-n-300-3	300	3	10710	0.238	0.5	0.4	52
ff-n-300-4	300	4	13881	0.308466666666667	0.5	0.4	53
ff-n-300-5	300	5	12381	0.275133333333333	0.5	0.4	54
ff-n-400-1	400	1	22453	0.2806625	0.5	0.4	55
ff-n-400-2	400	2	24034	0.300425	0.5	0.4	56
ff-n-400-3	400	3	21709	0.2713625	0.5	0.4	57
ff-n-400-4	400	4	25398	0.317475	0.5	0.4	58
ff-n-400-5	400	5	23164	0.28955	0.5	0.4	59
