0 1 2
0 2 37
0 3 51
0 4 50
0 5 50
0 6 1
0 7 14
0 8 32
0 9 15
0 10 2
0 11 22
0 12 88
0 13 42
0 14 14
0 15 25
0 16 14
0 17 9
0 18 40
0 19 35
0 20 50
0 21 17
0 22 32
0 23 88
0 24 38
0 25 96
0 26 74
0 27 4
0 28 97
0 29 70
0 30 71
0 31 58
0 32 14
0 33 90
0 34 14
0 35 67
0 36 96
0 37 55
0 38 56
0 39 71
0 40 95
0 41 39
0 42 63
0 43 70
0 44 57
0 45 83
0 46 64
0 48 47
0 49 77
0 50 95
0 51 38
0 52 81
0 53 84
0 54 99
0 55 11
0 56 17
0 59 8
0 61 53
0 62 7
0 64 95
0 65 50
0 66 65
0 67 21
0 69 87
0 70 93
0 73 98
0 74 99
0 75 19
0 76 67
0 77 25
0 78 59
0 81 88
0 87 80
0 88 91
0 89 5
0 90 76
0 97 59
0 100 35
0 101 8
0 103 47
0 104 17
0 108 62
0 109 44
0 113 50
0 115 60
0 116 48
0 117 15
0 118 44
0 119 90
0 120 88
0 124 98
0 125 19
0 126 93
0 127 69
0 130 40
0 131 71
0 133 29
0 134 93
0 135 32
0 136 4
0 138 99
0 139 65
0 140 5
0 142 64
0 144 18
0 146 47
0 150 28
0 153 6
0 154 41
0 159 4
0 163 68
0 164 17
0 165 24
0 166 80
0 168 18
0 172 17
0 174 13
0 177 14
0 180 8
0 184 36
0 185 64
0 186 49
0 192 88
0 198 70
1 34 36
1 35 81
1 37 4
1 38 27
1 39 78
1 40 91
1 41 48
1 42 3
1 43 8
1 44 38
1 45 91
1 47 20
1 48 81
1 49 35
1 50 1
1 51 45
1 53 22
1 56 50
1 57 73
1 59 42
1 60 32
1 61 22
1 62 55
1 63 22
1 64 4
1 65 24
1 66 82
1 67 73
1 68 52
1 69 42
1 70 52
1 72 59
1 73 84
1 75 50
1 76 1
1 77 44
1 81 34
1 84 74
1 85 58
1 90 56
1 92 14
1 101 31
1 103 15
1 104 98
1 105 6
1 123 23
1 125 56
1 129 14
1 132 97
1 133 62
1 135 72
1 137 50
1 138 57
1 140 19
1 142 79
1 143 11
1 146 100
1 149 54
1 150 4
1 159 29
1 160 29
1 163 11
1 164 70
1 165 50
1 169 15
1 177 64
1 178 82
