file	Node	seed	edge	dens	n	m	cpp seed
ab-n-100-1	100	1	1275	0.255	100	15	0
ab-n-100-2	100	2	1411	0.2822	100	17	1
ab-n-100-3	100	3	1539	0.3078	100	19	2
ab-n-100-4	100	4	1659	0.3318	100	21	3
ab-n-100-5	100	5	1771	0.3542	100	23	4
ab-n-200-1	200	1	4375	0.21875	200	25	5
ab-n-200-2	200	2	4671	0.23355	200	27	6
ab-n-200-3	200	3	4959	0.24795	200	29	7
ab-n-200-4	200	4	5239	0.26195	200	31	8
ab-n-200-5	200	5	5511	0.27555	200	33	9
ab-n-300-1	300	1	9275	0.2061111111111111	300	35	10
ab-n-300-2	300	2	9731	0.21624444444444443	300	37	11
ab-n-300-3	300	3	10179	0.2262	300	39	12
ab-n-300-4	300	4	10619	0.2359777777777778	300	41	13
ab-n-300-5	300	5	11051	0.24557777777777778	300	43	14
ab-n-400-1	400	1	15975	0.1996875	400	45	15
ab-n-400-2	400	2	16591	0.2073875	400	47	16
ab-n-400-3	400	3	17199	0.2149875	400	49	17
ab-n-400-4	400	4	17799	0.2224875	400	51	18
ab-n-400-5	400	5	18391	0.2298875	400	53	19
