0 1 2

1 2 35

2 3 5

3 4 60

4 5 69

5 6 16

6 7 43

7 8 34

8 9 64

9 10 100

10 11 94

11 12 86

12 13 94

13 14 63

14 15 6

15 16 61

16 17 94

17 18 40

18 19 69

19 20 91

20 21 51

21 22 50

22 23 60

23 24 84

24 25 56

25 26 40

26 27 96

27 28 64

28 29 8

29 30 85

30 31 46

31 32 26

32 33 63

33 34 100

34 35 49

35 36 32

36 37 36

37 38 27

38 39 34

39 40 54

40 41 36

41 42 78

42 43 1

43 44 85

44 45 27

45 46 1

46 47 44

47 48 85

48 49 66

49 50 50

50 51 44

51 52 71

52 53 11

53 54 62

54 55 80

55 56 54

56 57 63

57 58 86

58 59 17

59 60 57

60 61 18

61 62 85

62 63 85

63 64 40

64 65 8

65 66 76

66 67 98

67 68 38

68 69 96

69 70 42

70 71 50

71 72 100

72 73 30

73 74 17

74 75 57

75 76 83

76 77 57

77 78 14

78 79 3

79 80 30

80 81 53

81 82 48

82 83 13

83 84 67

84 85 51

85 86 58

86 87 64

87 88 92

88 89 10

89 90 22

90 91 37

91 92 93

92 93 44

93 94 30

94 95 40

95 96 18

96 97 52

97 98 61

98 99 96

99 100 97

100 101 30

101 102 51

102 103 82

103 104 68

104 105 84

105 106 57

106 107 83

107 108 12

108 109 97

109 110 30

110 111 65

111 112 85

112 113 62

113 114 60

114 115 7

115 116 40

116 117 74

117 118 91

118 119 90

119 120 20

120 121 94

121 122 15

122 123 65

123 124 69

124 125 65

125 126 22

126 127 16

127 128 56

128 129 31

129 130 64

130 131 91

131 132 77

132 133 38

133 134 18

134 135 38

135 136 39

136 137 34

137 138 26

138 139 12

139 140 54

140 141 21

141 142 33

142 143 30

143 144 89

144 145 28

145 146 65

146 147 4

147 148 51

148 149 60

149 150 36

150 151 27

151 152 80

152 153 7

153 154 82

154 155 32

155 156 25

156 157 80

157 158 40

158 159 19

159 160 57

160 161 82

161 162 100

162 163 93

163 164 93

164 165 61

165 166 7

166 167 59

167 168 20

168 169 67

169 170 9

170 171 75

171 172 70

172 173 83

173 174 71

174 175 46

175 176 56

176 177 12

177 178 87

178 179 24

179 180 46

180 181 81

181 182 40

182 183 64

183 184 89

184 185 76

185 186 36

186 187 83

187 188 31

188 189 9

189 190 62

190 191 80

191 192 56

192 193 10

193 194 21

194 195 55

195 196 36

196 197 46

197 198 4

198 199 12

199 200 63

200 201 90

201 202 11

202 203 46

203 204 91

204 205 46

205 206 30

206 207 68

207 208 46

208 209 71

209 210 13

210 211 24

211 212 54

212 213 67

213 214 76

214 215 23

215 216 83

216 217 13

217 218 95

218 219 23

219 220 33

220 221 86

221 222 29

222 223 6

223 224 78

224 225 14

225 226 73

226 227 48

227 228 95

228 229 63

229 230 44

230 231 77

231 232 89

232 233 21

233 234 81

234 235 40

235 236 73

236 237 90

237 238 54

238 239 53

239 240 64

240 241 98

241 242 32

242 243 15

243 244 7

244 245 17

245 246 87

246 247 55

247 248 54

248 249 98

249 250 82

250 251 22

251 252 68

252 253 49

253 254 69

254 255 65

255 256 37

256 257 85

257 258 75

258 259 55

259 260 15

260 261 56

261 262 36

262 263 1

263 264 83

264 265 100

265 266 23

266 267 75

267 268 17

268 269 33

269 270 14

270 271 91

271 272 11

272 273 31

273 274 11

274 275 76

275 276 65

276 277 52

277 278 48

278 279 24

279 280 71

280 281 70

281 282 93

282 283 78

283 284 38

284 285 24

285 286 69

286 287 10

287 288 79

288 289 82

289 290 31

290 291 58

291 292 49

292 293 51

293 294 96

294 295 54

295 296 91

296 297 24

297 298 78

298 299 90

299 300 51

300 301 34

301 302 34

302 303 61

303 304 63

304 305 36

305 306 89

306 307 77

307 308 62

308 309 17

309 310 13

310 311 61

311 312 93

312 313 46

313 314 45

314 315 40

315 316 50

316 317 7

317 318 97

318 319 24

319 320 59

320 321 68

321 322 60

322 323 54

323 324 42

324 325 1

325 326 75

326 327 47

327 328 1

328 329 94

329 330 86

330 331 14

331 332 80

332 333 97

333 334 60

334 335 24

335 336 97

336 337 56

337 338 99

338 339 17

339 340 62

340 341 24

341 342 77

342 343 18

343 344 71

344 345 59

345 346 99

346 347 84

347 348 24

348 349 38

349 350 79

350 351 6

351 352 56

352 353 24

353 354 63

354 355 57

355 356 12

356 357 80

357 358 90

358 359 53

359 360 14

360 361 90

361 362 20

362 363 7

363 364 96

364 365 71

365 366 95

366 367 52

367 368 51

368 369 32

369 370 21

370 371 61

371 372 32

372 373 46

373 374 31

374 375 86

375 376 36

376 377 14

377 378 62

378 379 50

379 380 59

380 381 74

381 382 25

382 383 92

383 384 33

384 385 28

385 386 8

386 387 22

387 388 59

388 389 20

389 390 60

390 391 93

391 392 3

392 393 67

393 394 4

394 395 43

395 396 54

396 397 40

397 398 69

398 399 84

399 0 26

381 214 91

100 202 20

59 323 68

